Sample in Buffer,Sample in Window,TRIGGER,design_1_i/ps7_0_axi_periph_M00_AXI_WREADY,design_1_i/ps7_0_axi_periph_M00_AXI_AWADDR[3:0],design_1_i/ps7_0_axi_periph_M00_AXI_BRESP[1:0],design_1_i/ps7_0_axi_periph_M00_AXI_BVALID,design_1_i/ps7_0_axi_periph_M00_AXI_BREADY,design_1_i/ps7_0_axi_periph_M00_AXI_ARADDR[3:0],design_1_i/ps7_0_axi_periph_M00_AXI_RREADY,design_1_i/ps7_0_axi_periph_M00_AXI_WVALID,design_1_i/ps7_0_axi_periph_M00_AXI_ARVALID,design_1_i/ps7_0_axi_periph_M00_AXI_ARREADY,design_1_i/ps7_0_axi_periph_M00_AXI_RDATA[31:0],design_1_i/ps7_0_axi_periph_M00_AXI_AWVALID,design_1_i/ps7_0_axi_periph_M00_AXI_AWREADY,design_1_i/ps7_0_axi_periph_M00_AXI_RRESP[1:0],design_1_i/ps7_0_axi_periph_M00_AXI_WDATA[31:0],design_1_i/ps7_0_axi_periph_M00_AXI_WSTRB[3:0],design_1_i/ps7_0_axi_periph_M00_AXI_RVALID,design_1_i/ps7_0_axi_periph_M00_AXI_ARPROT[2:0],design_1_i/ps7_0_axi_periph_M00_AXI_AWPROT[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
1,1,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
2,2,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
3,3,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
4,4,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
5,5,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
6,6,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
7,7,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
8,8,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
9,9,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
10,10,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
11,11,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
12,12,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
13,13,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
14,14,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
15,15,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
16,16,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
17,17,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
18,18,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
19,19,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
20,20,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
21,21,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
22,22,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
23,23,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
24,24,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
25,25,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
26,26,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
27,27,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
